absolute magnetic well,绝对磁阱
activation probes,活化探针
adiabatic invariant,绝热不变量
Alfvén instability,阿尔芬不稳定性
Alfvén velocity,阿尔芬速度
Alfvén wave,阿尔芬波
Alfvén,阿尔芬
ambipolar diffusion,双极性扩散
ampereturn,安匝数
analytic continuation,解析延拓
aspect-ratio,环径比
aspect ratio,环径比
backscattering parametric instabilities,反向散射的参量不稳定性
ballooning instability,气球模不稳定性
ballooning mode,气球模
BBGKY,BBGKY
beam-plasma instability,束等离子体不稳定性
beam-plasma interactions,束等离子体相互作用
Bennett pinch,贝内特箍缩
binary collision,二体碰撞
binary mixtures,二元混合物
blanket,包层
Bohm shealh criterion,玻姆鞘层判据
Bohm time,玻姆时间
Bohm-Gross waves,玻姆格罗斯波
Boltzmann,玻尔兹曼
bootstrap current,自举电流
bow shock,弓形激波
Braginsky equations,布拉金斯基方程
Brillouin scattering,布里渊散射
Brownian motion,布朗运动
bump-on-the-tail,尾巴有包
canonical,正则
charge exchange,电荷交换
child-langmuir law,蔡尔德朗缪尔定律                             -
circulating particle,通行粒子
collisional damping,碰撞阻尼
collisionless damping,无碰撞阻尼
complex argument,复宗量
configuration,位形
confinement scaling relations,约束定标关系
confinement scaling,约束定标率
confinement,约束
contravariant,反变
contravariant component,反变坐标分量
contravariant form,反变形式
contravariant vector,反变向量
contravariant basis vector,反变基向量
collision term,碰撞项
collision integral,碰撞积分
contour integral,环路积分
convective cells,对流单元
convective derivative,运流微商
core plasma,芯部等离子体
Cotton-Mouton effect,科顿–穆顿效应
coulomb barrier,库仑势垒
covariant,协变
covariant component,协变坐标分量
covariant form,协变形式
covariant vector,协变向量
covariant basis vector,协变基向量
criteria,判据
current penetration,电流穿透
current-driven instability,电流驱动的不稳定性
curvature drift,曲率漂移
cutoff,截止
cyclotron frequency,回旋频率
cyclotron radiation,回旋辐射
damping,阻尼
debye length,德拜长度
debye shielding,德拜屏蔽
decay instability,衰变不稳定性
decay of plasma,等离子体衰变
delta function,delta函数
density pedestal,密度台基
destabilization,失稳
device,装置
diamagnetic current,抗磁性电流
diamagnetic drift,抗磁性漂移
diamagnetic loop,抗磁环
diamagnetic,抗磁性
displacement,位移
differential operators,差分算子
dispersion relation,色散关系
dispersion surface,色散关系面
disruption,破裂
dissipative instability,耗散不稳定性
dissipative trapped electron mode,耗散俘获电子模
dissipative trapped particle instability,耗散俘获电子不稳定性
divertor,偏滤器
diverted plasma,偏滤器位形等离子体
diverted shape,偏滤器位形形态
double-plasma device,双等离子体(DP)装置
double null,双零
DP device,双等离子体(DP)装置
Dreicer field,德雷瑟电场
drift wave instability,漂移波不稳定性
dynamic form factor,动力学形状因子
edge localized mode,边缘局域模
edge transport barrier,边缘输运垒
eigenmode,本征模
eigen value,本征值
eigenvalue,本征值
electron drift mode,电子漂移波模
electron temperature gradient mode,电子温度梯度模
electrostatic probe,静电探针
equation of state,状态方程
ergodicity,遍历性
error field,误差场
existence proofs,存在性证明
external kink mode,外扭曲模
extraordinary wave,非寻常波
extraordinary mode,非寻常模
Faraday rotation,法拉第旋转
far-infrared laser,远红外激光器
fast ignition,快点火
Ficks law,菲克定律
field null,零场
field reversed configuration,场反位形
figure of merit,性能指标
finite-larmor-radius effect,有限拉莫尔半径效应
finite conductivity,有限导电率
first-wall,第一壁
first moment,一阶矩
fishbone instability,鱼骨模不稳定性
fishbone mode,鱼骨模
fishbone,鱼骨模
fission-fusion reactors,裂变聚变反应堆
FLR effect,有限拉莫尔半径效应
fluctuation,涨落
flux coordinates,磁面坐标
flute instability,槽纹不稳定性
flux function,磁面函数
flux surface,磁面
flux swing,最大伏秒数
Fokker-Planck equation,福克-普朗克方程
free energy,自由能
Fried-Conte,弗里德-康特等离子体色散函数
fuel injection,燃料注入
Galilean invariance,伽利略不变性
gas discharge,气体放电
gas puffing,喷气
geodesic acoustic mode,测地声模
global,全域
glow discharge,辉光放电
grad-b drift,梯度B漂移
Grad-Shafranov,Grad-Shafranov
grazing collision,擦边碰撞
Green's function,格林函数
guiding center,导向中心
gyro,回旋
gyrofrequency,回旋频率
gyrophase,回旋相位
gyrokinetics,回旋动理学
gyro-averaged kinetic equations,回旋平均动理学方程
gyro-kinetic equation,回旋动理学方程
gyroperiod,回旋周期
halo current,晕电流
H mode,H模
H-mode,H模
H function,H函数
H theorem,H定理
Hamiltonian,哈密顿量
harris instability,哈里斯不稳定性
heat flow equation,热流方程
hermite,厄米
higher moment,高阶矩
hohlraum,黑腔
hybrid frequency,杂化频率
hydromagnetic equilibrium,磁流体力学平衡
hydromagnetic wave,磁流体波
impact parameter,碰撞参量
impurity,杂质
infernal mode,诡模
inner-wall-limited,内壁限制器位形
integrand,被积函数
inter-molecular potential,分子间势
interchange instability,交换不稳定性
internal energy,内能
internal transport barrier,内部输运垒
internal kink,内扭曲模
inverse bremsstrahlung,逆轫致吸收
in-vessel,腔室内的
ioffe bars,约飞棒
ion temperature gradient mode,离子温度梯度模
Kadomtsev model,Kadomtsev模型
Kadomtsev-Nedospasov instability,Kadomtsev-Nedospasov不稳定性
kinetic instability,动力不稳定性
kinetic diagnostics,动力诊断
kinetic equilibrium,动力平衡
kineitc measurements,动力诊断
kinetic profile,动力剖面
kinetic,动理学
Kinetic energy,动能
kink,扭曲模
kink mode,扭曲模
kink instability,扭曲模不稳定性
krook collision term,克罗克碰撞项
Kruskal-Shafranov limit,Kruskal-Shafranov极限
L mode,L模
L-mode,L模
Landau damping,朗道阻尼
Langmuir waves,朗缪尔波
Langmuirs paradox,朗缪尔佯谬
Larmor gyration,拉莫尔回转
Larmor radius,拉莫尔半径
last closed flux surface,最外闭合磁面
LCFS,最外闭合磁面
Lawson criterion,劳逊判据
left-hand cutoff,左旋截止
lemniscoid,双扭形
levitated dipole,悬浮偶极场
Liouville,刘维尔
local,局域
Loschmidt number,洛施密特常数
loss cone instability,损失锥不稳定性
loss cone,损失锥
lower hybrid,下杂化
lower hybrid frequency,下杂化频率
lower hybrid heating,低杂波加热
lower hybrid wave,低杂波
lumped parameter,集总参数
magnetic beach,磁滩
magnetic configuration,磁场位形
magnetic island,磁岛
magnetic mirror,磁镜
magnetic moment,磁矩
magnetic reconnection,磁重联
magnetic surface,磁面
magnetic trap,磁阱
magnetic well,磁阱
magnetoacoustic waves,磁声波
magnetohydrodynamic,磁流体力学
major disruption,大破裂
major radius,大半径
marginally,临界
maxwellian distribution,麦克斯韦分布
mean free path,平均自由程
merging-compression,融合压缩
mergingcompression,融合压缩
microtearing mode,微撕裂模
micro-instability,微观不稳定性
micro instability,微观不稳定性
microinstability,微观不稳定性
microturbulence,微湍流
micro turbulence,微湍流
minor disruption,小破裂
minor radius,小半径
Mirnov instability,米尔诺夫不稳定性
mirror effect,磁镜效应
mirror instability,磁镜不稳定性
modulational instability,调制不稳定性
moment equation,矩方程
navier-stokes equation,纳维-斯托克斯方程
negative triangularity,反三角形变
neoclassical diffusion,新经典扩散
neoclassical,新经典
nonlinear landau damping,非线性朗道阻尼
nonlocal,非局域
number density,数密度
transport,输运
transportation,输运
object,对象
ordinary wave,寻常波
ordinary mode,寻常模
overdense,过临界密度
oscillating two-stream parametric instabilities,振荡双流的参量不稳定性
parametric decay instability,参量衰变不稳定性
parametric decay parametric instabilities,参量衰变的参量不稳定性
parametric instabilities,参量不稳定性
parametric instability,参量不稳定性
partial integration,分部积分
partition function,配分函数
partial derivative,偏导数
partial time derivative,时间偏导数
passing particle,通行粒子
pedestal,台基
pellet,弹丸
perturbation,扰动
peaked pressure profile,峰化压强剖面
peaked current profile,峰化电流剖面
Pfirsch-Schlüter,Pfirsch-Schlüter
phase-space trajectories,相空间轨迹
pinch,箍缩
phase velocity,相速度
physical picture,物理图像
plasma dispersion function,等离子体色散函数
plasma parameter,等离子体参量
plasma,等离子体
polarization drift,极化漂移
poloidal,极向
poloidal field,极向场
ponderomotive,有质动力
ponderomotive force,有质动力
ponderomotive effect,有质动力效应
positive triangularity,正三角形变
poynting's theorem,坡印廷定理
power series,幂级数
presheath,预鞘
pressure pedestal,压强台基
profile,剖面
puff,吹气
q-profile,q剖面
quasi-interchange model,准交换模
quasilinear,准线性
quench,猝灭
ramp phase stability,上升相稳定性
ramps up,电流爬升
rate of strain tensor,应变率张量
ray tracing,光线追踪
Rayleigh-Taylor instability,瑞利-泰勒不稳定性
reactive instability,正反馈不稳定性
recombination,复合
reconnection,重联
relaxation time,弛豫时间
relaxation,弛豫
resistive wall mode,电阻壁模
resistive ballooning mode,电阻性气球模
resistive instability,电阻性不稳定性
reversed field pinch,反场箍缩
right-hand cutoff,右旋截止
ripple transport,纹波输运
rotational transform angle,旋转变换角
robust,稳健
robustness,稳健性
runaway electrons,逃逸电子
runaway,逃逸
safety factor,安全因子
Sagdeev potential,Sagdeev势
sawtooth,锯齿模
scenario,运行模式
scrape-off,刮削
scrape-off layer,刮削层
screw pinch,螺旋箍缩
Scyllac,赛拉克装置
second moment,二阶矩
second regime,第二稳定区
separatrix,分界点
Shafranov shift,Shafranov位移
shear Alfvén wave,剪切阿尔芬波
shear,剪切
sheared flow,剪切流
shock waves,激波
shot,炮
shperomak,球马克
single null,单零
skin depth,趋肤深度
skin current,趋肤电流
slab model,平板位形
soliton,孤波子
species,组份
spherical tokamak,球形托卡马克
spheromak,球马克
spheroid,球形
Spitzer resistivity,斯必泽电阻率
stability limit,稳定性极限
stray field,杂散场
position stabilisation,位置致稳
stellarator,仿星器
stimulated Brillouin scattering parametric instabilities,受激布里渊散射的参量不稳定性
stimulated Brillouin scattering,受激布里渊散射
stimulated Raman scattering,受激拉曼散射
streaming instability,川流不稳定性
stress tensor,应力张量
Stringer diagrams,斯特林格图
surface quantity,磁面量
synchrotron radiation,同步辐射
Taylor relaxation,泰勒弛豫
tearing mode,撕裂模
tensor,张量
threshold of parametric instabilities,参量不稳定性的阈值
tomography,层析成像
toroidal alfvén eigenmode,环向阿尔芬本征模
toroidal electron drift mode,环向电子漂移模
toroidal field,环向场
toroidal pinch,环形箍缩
torsional alfvén wave,扭曲阿尔芬波
trapped electrons,俘获电子
trapped particle instability,俘获粒子不稳定性
trapped,俘获
trapped-particle instabilities,俘获粒子不稳定性
triangularity,三角形变
tritium inventory,氚滞留
Trivelpiece-Gould curves,特里维尔皮斯-古尔德曲线
Troyon scaling,Troyon定标率
Troyon,Troyon
truncate,截断
tunneling,隧穿
two-component torus,双组分环
two-stream instability,双流不稳定性
underdense,次临界密度
untrapped particle,通行粒子
upper hybrid,上杂化
upper hybrid frequency,上杂化频率
upper hybrid oscillations,上杂化振荡
upper hybrid wave,上杂波
vacuum vessel current,真空室壁电流
Van Allen belts,范艾伦带
Van Kampen mode,范坎彭模
vertical instability,垂直不稳定性
vessel,腔体
virial theorem,位力定理
Vlasov equation,弗拉索夫方程
wakefield accelaration,尾场加速
Ware pinch,韦尔箍缩
water-bag model,水袋模型
whistler,哨声
whistler wave,哨声波
yin-yang coil,阴阳线圈
zonal flow,带状流
z-pinch,Z箍缩
zeroth moment,零阶矩